# Terrain overflow check: blend.terrain.y-range.max=301 (pack-configured)
# Tiles: 100x100, seed: 1, pack: CHIMERA
# Positions where terrain.sampler + terrain.sampler-2d density > 0 at y=301
x=7124 z=21380 y=301 biome=SNOWY_SPIRES density=3.000000
x=7128 z=21380 y=301 biome=SNOWY_SPIRES density=3.000000
x=7132 z=21380 y=301 biome=SNOWY_SPIRES density=2.385829
x=7136 z=21380 y=301 biome=SNOWY_SPIRES density=0.963569
x=7116 z=21384 y=301 biome=SNOWY_SPIRES density=3.000000
x=7120 z=21384 y=301 biome=SNOWY_SPIRES density=3.000000
x=7124 z=21384 y=301 biome=SNOWY_SPIRES density=3.000000
x=7128 z=21384 y=301 biome=SNOWY_SPIRES density=3.000000
x=7132 z=21384 y=301 biome=SNOWY_SPIRES density=3.000000
x=7136 z=21384 y=301 biome=SNOWY_SPIRES density=2.449691
x=7140 z=21384 y=301 biome=SNOWY_SPIRES density=0.433934
x=7116 z=21388 y=301 biome=SNOWY_SPIRES density=3.000000
x=7120 z=21388 y=301 biome=SNOWY_SPIRES density=3.000000
x=7124 z=21388 y=301 biome=SNOWY_SPIRES density=3.000000
x=7128 z=21388 y=301 biome=SNOWY_SPIRES density=3.000000
x=7132 z=21388 y=301 biome=SNOWY_SPIRES density=3.000000
x=7136 z=21388 y=301 biome=SNOWY_SPIRES density=3.000000
x=7140 z=21388 y=301 biome=SNOWY_SPIRES density=1.285506
x=7116 z=21392 y=301 biome=SNOWY_SPIRES density=3.000000
x=7120 z=21392 y=301 biome=SNOWY_SPIRES density=3.000000
x=7124 z=21392 y=301 biome=SNOWY_SPIRES density=3.000000
x=7128 z=21392 y=301 biome=SNOWY_SPIRES density=3.000000
x=7132 z=21392 y=301 biome=SNOWY_SPIRES density=3.000000
x=7136 z=21392 y=301 biome=SNOWY_SPIRES density=3.000000
x=7140 z=21392 y=301 biome=SNOWY_SPIRES density=1.629068
x=7116 z=21396 y=301 biome=SNOWY_SPIRES density=3.000000
x=7120 z=21396 y=301 biome=SNOWY_SPIRES density=3.000000
x=7124 z=21396 y=301 biome=SNOWY_SPIRES density=3.000000
x=7128 z=21396 y=301 biome=SNOWY_SPIRES density=3.000000
