# Terrain overflow check: blend.terrain.y-range.max=301 (pack-configured)
# Tiles: 250x250, seed: 1, pack: CHIMERA
# Positions where terrain.sampler + terrain.sampler-2d density > 0 at y=301
x=-101688 z=124472 y=301 biome=RED_XERIC_MOUNTAINS density=2.067206
x=-101640 z=124592 y=301 biome=RED_XERIC_MOUNTAINS density=3.029345
x=-101632 z=124600 y=301 biome=RED_XERIC_MOUNTAINS density=2.557895
x=-101624 z=124600 y=301 biome=RED_XERIC_MOUNTAINS density=3.744811
x=-101600 z=124600 y=301 biome=RED_XERIC_MOUNTAINS density=2.757661
x=-101592 z=124600 y=301 biome=RED_XERIC_MOUNTAINS density=2.844747
x=-101600 z=124608 y=301 biome=RED_XERIC_MOUNTAINS density=2.834442
x=-101608 z=124624 y=301 biome=RED_XERIC_MOUNTAINS density=6.321572
x=-101624 z=124632 y=301 biome=RED_XERIC_MOUNTAINS density=4.674665
x=-101600 z=124632 y=301 biome=RED_XERIC_MOUNTAINS density=4.089329
x=-101608 z=124640 y=301 biome=RED_XERIC_MOUNTAINS density=6.148377
x=-101600 z=124640 y=301 biome=RED_XERIC_MOUNTAINS density=5.605071
x=-101592 z=124640 y=301 biome=RED_XERIC_MOUNTAINS density=3.078543
x=-101624 z=124648 y=301 biome=RED_XERIC_MOUNTAINS density=5.746389
x=-101608 z=124648 y=301 biome=RED_XERIC_MOUNTAINS density=6.213396
x=-101600 z=124648 y=301 biome=RED_XERIC_MOUNTAINS density=6.057786
x=-101592 z=124648 y=301 biome=RED_XERIC_MOUNTAINS density=4.348599
x=-101632 z=124656 y=301 biome=RED_XERIC_MOUNTAINS density=4.710562
x=-101616 z=124656 y=301 biome=RED_XERIC_MOUNTAINS density=5.311786
x=-101608 z=124656 y=301 biome=RED_XERIC_MOUNTAINS density=6.027267
x=-101600 z=124656 y=301 biome=RED_XERIC_MOUNTAINS density=5.839114
x=-101592 z=124656 y=301 biome=RED_XERIC_MOUNTAINS density=4.448694
x=-101584 z=124656 y=301 biome=RED_XERIC_MOUNTAINS density=3.560137
x=-101576 z=124656 y=301 biome=RED_XERIC_MOUNTAINS density=3.583051
x=-101616 z=124664 y=301 biome=RED_XERIC_MOUNTAINS density=5.439712
x=-101608 z=124664 y=301 biome=RED_XERIC_MOUNTAINS density=6.545197
x=-101600 z=124664 y=301 biome=RED_XERIC_MOUNTAINS density=4.829567
x=-101592 z=124664 y=301 biome=RED_XERIC_MOUNTAINS density=4.353421
x=-101584 z=124664 y=301 biome=RED_XERIC_MOUNTAINS density=4.054629
x=-101576 z=124664 y=301 biome=RED_XERIC_MOUNTAINS density=4.025042
x=-101616 z=124672 y=301 biome=RED_XERIC_MOUNTAINS density=4.870271
x=-101608 z=124672 y=301 biome=RED_XERIC_MOUNTAINS density=6.163798
x=-101600 z=124672 y=301 biome=RED_XERIC_MOUNTAINS density=4.952422
x=-101592 z=124672 y=301 biome=RED_XERIC_MOUNTAINS density=5.533100
x=-101584 z=124672 y=301 biome=RED_XERIC_MOUNTAINS density=5.059157
x=-101576 z=124672 y=301 biome=RED_XERIC_MOUNTAINS density=3.550548
x=-101568 z=124672 y=301 biome=RED_XERIC_MOUNTAINS density=2.760319
x=-101608 z=124680 y=301 biome=RED_XERIC_MOUNTAINS density=4.497786
x=-101600 z=124680 y=301 biome=RED_XERIC_MOUNTAINS density=3.786778
x=-101592 z=124680 y=301 biome=RED_XERIC_MOUNTAINS density=2.898879
